,pair,timestamp,timestamp_end,pair1,pair2,pair1_end,pair2_end,tk1in,tk1out,tk2in,tk2out,lp_tokens
0,ETH-RLY,12888158,12895157,3327615080776209826502,17506251789796249336250158,3207950065133089283165,17946822027937699536293790,1.25429e+20,2.2789e+20,1.25054e+24,6.89259e+23,2.13546e+23
1,ETH-ROOK,12888158,12895157,638549997731989356304,9685689273553393633908,620426293538672261599,9972369331437531436336,3.04412e+19,4.85649e+19,7.58848e+20,4.72168e+20,1.44544e+21
2,ETH-renBTC,12888158,12895157,3329902349005181230423,21074699435,3336910461394894487741,21011529087,9.43638e+19,8.55939e+19,546744720.0,598690936.0,7071030000000000.0
3,BOND-USDC,12888158,12895157,558984774622070829617403,12526348121259,564696792661174944335450,12407765138042,5.17702e+22,4.60951e+22,1027330000000.0,1146740000000.0,2.3999e+18
4,mAMZN-UST,12888158,12895157,4856980717166776553397,17629678835074466652796774,4170915834846918360558,15129785200818472659817050,1.33041e+18,0.0,0.0,4.81306e+21,2.49179e+23
5,mGOOGLE-UST,12888158,12895157,6786215019706125720441,17850061106819511916232783,5833380639796317833472,15261449953355155448465386,2.33494e+19,1.52633e+19,4e+22,6.09886e+22,2.95437e+23
6,AAVE-ETH,12888158,12895157,47022211214139027313068,6465667770748654211475,47540238638337264877025,6263868311555203922703,2.01531e+21,9.96965e+20,1.32378e+20,2.68237e+20,1.4499e+22
7,MKR-ETH,12888158,12895157,6211356747564832117812,7374871355102912604764,6275716482123633827224,7298052091183088177071,1.23928e+20,5.87891e+19,6.92344e+19,1.45131e+20,5.4463e+21
8,UNI-ETH,12888158,12895157,2249202599797544902848045,19501672995615529966712,2295309127512940401908189,19086294409280618386954,9.31545e+22,4.54378e+22,3.83525e+20,7.85169e+20,1.00928e+23
9,USDC-ETH,12888158,12895157,139778572831175,65774847411767762586049,130308432188036,60171954219650700114338,15132600000000.0,13749500000000.0,6.37308e+21,6.97747e+21,1.65501e+18
10,ETH-RLY,12895158,12902157,3207950065133089283165,17946822027937699536293790,3142709571360166321073,17644126166976225565764571,1.1225e+20,1.17384e+20,6.58253e+23,6.2562e+23,2.09551e+23
11,ETH-ROOK,12895158,12902157,620426293538672261599,9972369331437531436336,620159007118043639187,9971994261241474319092,7.27082e+19,7.26134e+19,1.15931e+21,1.15388e+21,1.4446e+21
12,ETH-renBTC,12895158,12902157,3336910461394894487741,21011529087,3394991314805804905237,20658926261,2.17083e+20,1.59003e+20,967211316.0,1319814142.0,7071030000000000.0
13,BOND-USDC,12895158,12902157,564696792661174944335450,12407765138042,535870706844895814653083,12238503742477,1.17618e+23,1.27624e+23,2874040000000.0,2633580000000.0,2.32031e+18
14,mAMZN-UST,12895158,12902157,4170915834846918360558,15129785200818472659817050,4164462256810090638171,15142568987499433828632592,1.00534e+18,5.9806e+18,2.17813e+22,3.63589e+21,2.49091e+23
15,mGOOGLE-UST,12895158,12902157,5833380639796317833472,15261449953355155448465386,5810404811157818639229,15321990134616766403867067,6.7457e+17,2.36504e+19,6.23052e+22,1.76504e+21,2.95437e+23
16,AAVE-ETH,12895158,12902157,47540238638337264877025,6263868311555203922703,46383601808387721629840,6423350976069794829987,3.42681e+21,4.58338e+21,6.2797e+20,4.68479e+20,1.4499e+22
17,MKR-ETH,12895158,12902157,6275716482123633827224,7298052091183088177071,6248336593800341561895,7302452601841991618449,1.31351e+20,1.46505e+20,1.72428e+20,1.53785e+20,5.43568e+21
18,UNI-ETH,12895158,12902157,2295309127512940401908189,19086294409280618386954,2280823425843048806537566,19137244717313997777307,1.13475e+23,1.23424e+23,1.03625e+21,9.47197e+20,1.00728e+23
19,USDC-ETH,12895158,12902157,130308432188036,60171954219650700114338,135102000492575,58157264522083506111971,27589000000000.0,22857300000000.0,1.01154e+22,1.21576e+22,1.65578e+18
20,ETH-RLY,12902158,12909157,3142709571360166321073,17644126166976225565764571,3101889606507140049507,17927404943767765478009450,1.57922e+20,2.02604e+20,1.16986e+24,9.09142e+23,2.09814e+23
21,ETH-ROOK,12902158,12909157,620159007118043639187,9971994261241474319092,617885313784975101720,10012267880387891519688,3.58808e+19,3.81545e+19,6.141e+20,5.73826e+20,1.4446e+21
22,ETH-renBTC,12902158,12909157,3394991314805804905237,20658926261,3429117356680979449328,20456066990,9.3437e+19,5.93109e+19,354203133.0,557062404.0,7071030000000000.0
23,BOND-USDC,12902158,12909157,535870706844895814653083,12238503742477,551217988741916713198372,11966256963150,5.73114e+22,4.281e+22,954260000000.0,1270070000000.0,2.32634e+18
24,mAMZN-UST,12902158,12909157,4164462256810090638171,15142568987499433828632592,4167249490656062191029,15282693270498473885527007,2.02879e+17,1.79824e+19,6.5867e+22,7.41789e+20,2.50323e+23
25,mGOOGLE-UST,12902158,12909157,5810404811157818639229,15321990134616766403867067,5791289740403292115330,15429269049770595137276806,3.14799e+17,3.00909e+19,8e+22,8.3406e+20,2.95979e+23
26,AAVE-ETH,12902158,12909157,46383601808387721629840,6423350976069794829987,47642806145411004711952,6255267310744569815517,3.30236e+21,2.04145e+21,2.79114e+20,4.46967e+20,1.44985e+22
27,MKR-ETH,12902158,12909157,6248336593800341561895,7302452601841991618449,6230538353969843060471,7323971245111413135563,7.64412e+19,9.42638e+19,1.10677e+20,8.91863e+19,5.4357e+21
28,UNI-ETH,12902158,12909157,2280823425843048806537566,19137244717313997777307,2304478186598229770771953,18915725352693682726237,9.54069e+22,6.99875e+22,5.83893e+20,7.90721e+20,1.0065e+23
29,USDC-ETH,12902158,12909157,135103244804453,58156730495829661365942,134904416469038,59974434115424073793741,28478800000000.0,30514600000000.0,1.3481e+22,1.25132e+22,1.67911e+18
30,ETH-RLY,12909158,12916157,3101889606507140049507,17927404943767765478009450,3071442979180568043309,18226811336855863666949397,1.21272e+20,1.61675e+20,9.54872e+23,7.13285e+23,2.10489e+23
31,ETH-ROOK,12909158,12916157,617885313784975101720,10012267880387891519688,624488223097809126886,10209809474403275652130,5.67311e+19,5.93039e+19,9.70463e+20,9.22922e+20,1.46615e+21
32,ETH-renBTC,12909158,12916157,3429117356680979449328,20456066990,3492153120055702019168,20094213300,2.27763e+20,1.64778e+20,961875310.0,1324018906.0,7071130000000000.0
33,BOND-USDC,12909158,12916157,551217988741916713198372,11966256963150,554922824097431491869395,11726660802453,3.5532e+22,2.79837e+22,599850000000.0,757446000000.0,2.31026e+18
34,mAMZN-UST,12909158,12916157,4167249490656062191029,15282693270498473885527007,4173420095012797245816,15260164814609983527280379,6.17333e+18,2726640000000000.0,1e+19,2.25385e+22,2.50323e+23
35,mGOOGLE-UST,12909158,12916157,5791289740403292115330,15429269049770595137276806,5708716016973667144234,15653363271939650152089210,1.482e+19,9.73937e+19,2.63977e+23,3.98826e+22,2.95979e+23
36,AAVE-ETH,12909158,12916157,47642806145411004711952,6255267310744569815517,47932671575917183589060,6219532218896257627173,1.73969e+21,1.45307e+21,1.90302e+20,2.26462e+20,1.44995e+22
37,MKR-ETH,12909158,12916157,6230538353969843060471,7323971245111413135563,6268829069470075187375,7280577107899771175684,1.35553e+20,9.749e+19,1.14429e+20,1.58085e+20,5.4359e+21
38,UNI-ETH,12909158,12916157,2304478186598229770771953,18915725352693682726237,2283782321646227506134378,19062584436565597394143,5.2098e+22,7.11291e+22,5.89865e+20,4.29278e+20,1.00577e+23
39,USDC-ETH,12909158,12916157,134904416469038,59974434115424073793741,137130552688212,59126398684164659544723,23852500000000.0,21702000000000.0,9.52961e+21,1.04113e+22,1.68005e+18
40,ETH-RLY,12916158,12923157,3071442979180568043309,18226811336855863666949397,3268563341769936308233,17285241999801862969287680,3.86926e+20,2.03476e+20,1.0466e+24,2.06465e+24,2.11398e+23
41,ETH-ROOK,12916158,12923157,624488223097809126886,10209809474403275652130,615901665032659061148,10353540145503285354169,1.32527e+19,2.18283e+19,3.63039e+20,2.19127e+20,1.46612e+21
42,ETH-renBTC,12916158,12923157,3492153120055702019168,20094213300,3464991977152314424876,20247368599,3.73319e+19,6.3965e+19,370018318.0,213826424.0,7070060000000000.0
43,BOND-USDC,12916158,12923157,554922824097431491869395,11726660802453,569207452182846400379687,11833258307291,5.50799e+22,5.03027e+22,1053320000000.0,1146830000000.0,2.34976e+18
44,mAMZN-UST,12916158,12923157,4173420095012797245816,15260164814609983527280379,4285736828277376165542,14870792652093581535924876,1.10999e+20,0.0,0.0,3.94189e+23,2.50402e+23
45,mGOOGLE-UST,12916158,12923157,5708716016973667144234,15653363271939650152089210,5691754238206648293137,15480356075787258594419839,4.06629e+19,1.74627e+19,4.75e+22,1.10383e+23,2.93897e+23
46,AAVE-ETH,12916158,12923157,47932671575917183589060,6219532218896257627173,47387520518018374513884,6268585924960175406697,8.25824e+20,1.28192e+21,1.68201e+20,1.07619e+20,1.44725e+22
47,MKR-ETH,12916158,12923157,6268829069470075187375,7280577107899771175684,6161544636247241868391,7409965279784178153315,3.15514e+20,4.22782e+20,5.08997e+20,3.79589e+20,5.43588e+21
48,UNI-ETH,12916158,12923157,2283782321646227506134378,19062584436565597394143,2280452726608182705433644,18965070611578227070139,7.65212e+22,7.21064e+22,6.01768e+20,6.34836e+20,1.00237e+23
49,USDC-ETH,12916158,12923157,137133484020513,59125138781974112274654,136925894965187,59263831862906354923843,17323300000000.0,17538600000000.0,7.63142e+21,7.49305e+21,1.68011e+18
